埃	*qˤə 
夫	*ba 
扶	*m-[p](r)a 
扶	*m-[p](r)a 
佛	*[b][u]t 
怫	*[b][u]t 
咈	*[m-p][u]t 
枹	*[b](r)u 
蜉	*[b](r)u 
浮	*m.b(r)u 
伏	*[b]ək-s 
畐	*[b]ək 
匐	*[b]ək 
𠬝	*[b]ək 
服	*[b]ək 
服	*[b]ək 
服	*[b]ək 
箙	*[b]ək 
伏	*[b]ək 
匐	*[b]ˤək (< *[b]ˤuk ?)
刜	*pʰ[u]t 
拂	*pʰ[u]t 
彿	*pʰ[u]t 
茀	*pʰ[u]t 
艴	*pʰ[u]t 
幅	*p<r>ək 
弗	*p[u]t 
茀	*p[u]t 
紱	*put 
弗	*put 
弗	*put 
福	*pək 
輻	*pək 
幅	*pək 
幅	*pək 
輔	*[b](r)aʔ 
腐	*[b](r)oʔ 
撫	*[pʰ](r)aʔ 
鈇	*p(r)aʔ 
父	*p(r)aʔ 
斧	*p(r)aʔ 
甫	*p(r)aʔ 
脯	*p(r)aʔ 
簠	*p(r)aʔ 
府	*p(r)oʔ 
甫	*praʔ 
縛	*bak 
父	*[N-p](r)aʔ 
附	*N-p(r)oʔ-s 
傅	*[b](r)[a]-s 
阜	*[b](r)uʔ 
服	*[b]əʔ 
負	*[b]əʔ 
婦	*mə.bəʔ (or *tsə.-? see Min)
