埃	*qˤə 
琴	*[C.ɢ](r)[ə]m 
堇	*[g]rə[r] 
矜	*griŋ 
芹	*C.[ɢ]ər 
勤	*[g]ər 
懃	*[g]ər 
鬵	*sə-l[ə]m 
螼	*C-qʰrə[r]ʔ 
螼	*C-qʰrə[r]ʔ-s 
寢	*[tsʰ]imʔ 
衿	*C.ɢ(r)[ə]m-s 
卿	*C.qʰraŋ 
輕	*[kʰ]eŋ (no palatalization before *-eŋ?)
傾	*[k]ʷʰeŋ 
青	*[s.r̥]ˤeŋ 
清	*tsʰeŋ 
晴	*N-tsʰeŋ 
情	*[dz]eŋ 
請	*m-tsʰeŋ 
謦	*[C.qʰ]ˤeŋʔ 
頃	*[k]ʷʰeŋʔ 
請	*[tsʰ]eŋʔ 
殸	*[C.qʰ]ˤeŋ-s 
磬	*[C.qʰ]ˤeŋ-s 
𥥻	*[k]ʰˤeŋ-s 
罄	*[kʰ]ˤeŋ-s 
慶	*[kʰ]raŋ-s 
凊	*[tsʰ]eŋ-s 
窮	*[g](r)uŋ 
窮	*m-[g](r)uŋ 
瞏	*[g]ʷeŋ 
丘	*[k]ʷʰə 
蚯	*[k]ʷʰə 
緧	*[tsʰ]u 
秋	*tsʰiw 
蝤	*[dz]u 
酋	*m-tsu 
球	*[g](r)[u] 
仇	*[g](r)u 
求	*[g](r)u 
裘	*[g]ʷə 
逑	*g(r)u 
遒	*tsu 
泅	*[s-N].ru 
囚	*sə.lu 
胠	*[kʰ]<r>ap 
曲	*kʰ(r)ok 
驅	*[k]ʰ(r)o 
屈	*Nə-[kʰ]ut 
屈	*[kʰ]ut 
岨	*[tsʰ]a 
趨	*[ts]ʰro 
渠	*[g](r)a 
劬	*[g](r)o 
絇	*[g](r)o 
瞿	*[g]ʷ(r)a 
䀠	*[k]ʷ(r)a-s 
取	*tsʰoʔ 
去	*[kʰ](r)aʔ 
去	*[k]ʰ(r)ap-s 
闃	*[k-m̥]ˤik (dialect: *-ik > *-ek) 
取	*[ts]ʰoʔ-s 
娶	*[ts]ʰoʔ-s 
趣	*[tsʰ]oʔ-s 
全	*[dz]o[n] 
泉	*s-N-ɢʷar (MC I!)
拳	*N-kro[n] 
權	*[g]ʷrar 
卷	*[g]ʷren 
鬈	*[g]ʷren 
犬	*[k]ʷʰˤ[e][n]ʔ 
勸	*C.qʷʰar-s 
缺	*Nə-[k]ʷʰˤet 
確	*[k]ʰˤrawk 
殼	*[kʰ]ˤrok 
卻	*[k]ʰak 
却	*[k]ʰak 
闕	*kʷʰat 
闋	*kʷʰˤi[t] 
鵲	*[tsʰ]ak 
雀	*[ts]ewk 
囷	*kʰrun 
夋	*[tsʰ]u[r] 
裙	*[g]u[r] 
群	*[g]ur 
羣	*[g]ur 
髯	*nam 
㸐	*C.na[n] 
燃	*C.na[n] 
然	*[n]a[n] 
染	*C.n[a]mʔ 
熯	*narʔ 
攘	*naŋ 
攘	*naŋ 
壤	*naŋʔ 
攘	*naŋʔ 
讓	*naŋ-s 
襓	*[ŋ]ew (< uvular?)
饒	*[ŋ]ew (< uvular?)
橈	*[ŋ]ew  (< uvular?)
繞	*[ŋ]ewʔ (< uvular?)
繞	*[ŋ]ewʔ-s (< uvular?)
熱	*C.nat (or *C.ŋet?)
壬	*n[ə]m 
人	*ni[ŋ] 
仁	*niŋ 
荏	*n[ə]mʔ (< *num?)
稔	*nimʔ 
忍	*nə[n]ʔ 
忍	*nə[n]ʔ 
紝	*n<r>[ə]m 
紝	*n[ə]m 
衽	*n[ə]mʔ 
飪	*n[ə]mʔ 
恁	*n[ə]mʔ 
任	*n[ə]m-s 
衽	*n[ə]mʔ-s 
刃	*nə[n]-s 
認	*nə[n]-s 
軔	*nər(ʔ)-s 
仍	*nəŋ 
日	*C.nik 
衵	*nik 
榮	*[N-qʷ]reŋ 
榮	*[N-qʷ]reŋ 
嶸	*[ɢ]ʷreŋ 
嶸	*[ɢ]ʷˤreŋ 
戎	*nuŋ 
戎	*nuŋ 
茙	*nuŋ (< *num?)
㝐	*[ɢ](r)oŋ 
容	*[ɢ](r)oŋ 
容	*[ɢ](r)oŋ 
頌	*[ɢ](r)oŋ 
融	*luŋ (? < *lum)
肜	*m.rum (dialect: *-um > *-uŋ)
彡	*m.rum (dialect: *-um > *-uŋ)
䑣	*m.rum (dialect: > *-um > *-uŋ)
柔	*nu 
肉	*k.nuk 
如	*na 
如	*na 
洳	*na 
茹	*naʔ 
茹	*na-s 
茹	*naʔ-s 
濡	*no 
襦	*no 
汝	*naʔ 
辱	*nok 
乳	*noʔ 
入	*n[u]p 
洳	*na-s 
縟	*nok 
蓐	*nok 
孺	*no-s 
緌	*nuj 
瑞	*[d]or-s 
鋭	*lot-s 
閏	*nu[n]-s 
若	*nak 
若	*nak 
弱	*newk 
爇	*not 
焫	*not 
洒	*Cə.s<r>ərʔ 
灑	*Cə.s<r>ərʔ (MC srj- > sr-)
纚	*sreʔ (MC srj- > sr-)
灑	*Cə.s<r>ərʔ-s (MC srj- > sr-)
曬	*sre-s 
灑	*Cə.s<r>ərʔ-s 
摋	*sˤat 
塞	*[s]ˤək-s 
塞	*[s]ˤək-s 
參	*s.rum (*s.r- > s-; infl. by 四 *s-?)
三	*s.rum (*s.r- > s-; infl. by 四 *s-?)
三	*s.r[u]m-s (*s.r- > *s-, infl. by 四 *s-?)
散	*[s]ˤa[n]ʔ 
傘	*[s]ˤarʔ 
散	*mə-sˤa[n]ʔ-s 
桑	*[s]ˤaŋ 
喪	*s-mˤaŋ 
顙	*[s]ˤaŋʔ 
喪	*s-mˤaŋ-s 
臊	*[m.s]ˤaw 
鱢	*[m.s]ˤaw 
騷	*[s]ˤu 
搔	*s-[ts]ˤu 
燥	*C.sˤawʔ-s 
塞	*[s]ˤək 
嗇	*s.rək 
穡	*s.rək 
色	*s.rək 
瑟	*[s.m]ri[t] 
森	*s.rəm 
槮	*s.r̥[ə]m 
沙	*sˤraj 
殺	*s<r>at 
翣	*s(ˤ)r[a]p 
歃	*[s](ˤ)r[o]p 
歃	*[s]r[o]p 
釃	*Cə.sre 
殺	*s<r>at-s 
芟	*[s]ˤr[a]m 
髟	*s(ˤ)ram 
潸	*[s]ˤra[n] 
潸	*[s]ra[n] 
山	*s-ŋrar 
苫	*s.tem 
羶	*s.tan 
羴	*s.tan 
膻	*s.tan 
贍	*[d]am-s 
墠	*[d]anʔ 
壇	*[d]anʔ 
善	*[g]e[n]ʔ 
擅	*[d]a[n]-s 
禪	*[d]ar-s 
繕	*[g]e[n]ʔ-s 
苫	*s-tem-s 
扇	*[l̥][a][r]-s 
湯	*l̥aŋ 
愓	*l̥aŋ 
傷	*l̥aŋ 
觴	*l̥aŋ 
商	*s-taŋ 
商	*s-taŋ 
商	*s-taŋ 
曏	*n̥aŋʔ 
賞	*s-taŋʔ 
上	*Cə-daŋʔ 
上	*m-daŋʔ 
尚	*[d]aŋ-s 
尚	*[d]aŋ-s 
上	*daŋʔ-s 
餉	*n̥aŋ(ʔ)-s 
曏	*n̥aŋ-s 
捎	*[s]ˤew 
筲	*[s](ˤ)rew 
燒	*[ŋ̊]ew 
勺	*m-tewk 
杓	*m-tewk 
少	*[s.t]ewʔ 
召	*[d]awʔ 
邵	*[d]aw-s 
稍	*[s](ˤ)rew-s 
削	*[sˤ]rewk-s 
少	*[s-t]ewʔ-s 
賖	*l̥A 
賒	*l̥A 
奢	*s.tʰA 
折	*N-tet 
蛇	*Cə.lAj 
舌	*mə.lat 
舍	*l̥Aʔ 
捨	*l̥Aʔ 
社	*m-tʰAʔ 
舍	*[l̥]Ak-s (W dialect: *l̥- > *x-, palatalizing)
赦	*[l̥]Ak-s 
攝	*kə.n̥ep 
韘	*l̥[a]p 
設	*ŋ̊et 
射	*Cə.lAk-s 
射	*Cə.lAk 
參	*srum (should be *s.rum)
兟	*s<r>ər 
莘	*sri[n] 
詵	*srər 
深	*[l̥][ə]m 
深	*[l̥][ə]m-s 
紳	*[l̥]i[n] 
申	*l̥i[n] 
伸	*l̥i[n] 
呻	*l̥i[n] 
身	*n̥i[ŋ] 
娠	*s-tər 
娠	*tər-s 
神	*Cə.li[n] 
沈	*[s.t][ə]mʔ 
諗	*n̥imʔ 
審	*s.tʰ[ə]mʔ 
哂	*n̥ərʔ 
瀋	*tʰ[ə]mʔ 
甚	*[t.ɢ][ə]mʔ 
甚	*[t.ɢ][ə]mʔ-s 
腎	*Cə.[g]i[n]ʔ 
蜃	*[d]ərʔ 
慎	*[d]i[n]-s 
罧	*s.r[ə]mʔ-s 
葚	*sə-d[ə]mʔ 
甥	*s.reŋ 
生	*sreŋ (MC srj- > sr-; or *s.reŋ ?)
生	*sreŋ 
生	*sreŋ (or *s.reŋ ?)
勝	*l̥əŋ 
升	*s-təŋ 
升	*s-təŋ 
陞	*s-təŋ 
聲	*[l̥]eŋ 
繩	*Cə-m.rəŋ 
盛	*[d]eŋ-s 
勝	*l̥əŋ-s 
聖	*l̥eŋ-s 
剩	*Cə.ləŋ-s 
乘	*Cə.ləŋ-s 
乘	*Cə.ləŋ-s 
師	*srij 
師	*srij 
蝨	*srik 
詩	*s.tə 
尸	*l̥̥[ə]j 
屍	*l̥̥[ə]j 
蓍	*s-kij 
濕	*[qʰ]ip 
溼	*s-[qʰ][i]p 
失	*l̥i[t] 
施	*l̥aj 
時	*[d]ə (~ *[d]əʔ)
拾	*[d][ə]p 
十	*t.[g]əp 
什	*t.[g]əp 
石	*dAk 
識	*s-tək 
食	*mə-lək 
蝕	*mə-lək 
實	*mə.li[t] 
史	*s-rəʔ 
使	*s-rəʔ 
使	*s-rəʔ-s 
始	*l̥əʔ 
𦳊	*[qʰ]ijʔ 
屎	*[qʰ]ijʔ 
矢	*l̥i[j]ʔ 
豕	*l̥ajʔ 
士	*[m-s-]rəʔ 
仕	*[m-s-]rəʔ 
事	*[m-s-]rəʔ-s 
柿	*[dz]rijʔ (? or *S.ɢrijʔ)
市	*C.[d]əʔ 
恃	*[d]əʔ 
侍	*[d]əʔ-s 
視	*gijʔ 
嗜	*[g]ij-s 
視	*gijʔ-s 
是	*[d]eʔ 
氏	*k.deʔ 
誓	*[d][a]t-s 
筮	*[d][e][t]-s 
逝	*[d]at-s 
噬	*[d]e[t]-s 
奭	*[qʰ](r)Ak 
試	*l̥ək-s 
弒	*l̥ək-s 
式	*l̥ək 
式	*l̥ək 
拭	*l̥ək 
飾	*l̥ək 
室	*s.ti[t] 
貰	*[l̥][a]p-s 
世	*l̥ap-s 
埶	*ŋ̊et-s 
勢	*ŋ̊et-s 
螫	*[l̥]Ak 
襫	*[qʰ](r)Ak 
𥼶	*l̥Ak 
釋	*l̥Ak 
檡	*l̥Ak 
適	*s-tek 
適	*s-tek 
戠	*tək 
適	*tek 
奭	*[qʰ](r)ək 
示	*s-gijʔ-s 
舓	*Cə.leʔ 
舐	*Cə.leʔ 
收	*s-kiw 
首	*l̥uʔ 
手	*n̥uʔ 
守	*s-tuʔ 
首	*l̥uʔ-s 
壽	*[N-t]uʔ 
受	*[d]uʔ 
壽	*[N-t]uʔ-s 
授	*[d]uʔ-s 
瘦	*sru-s 
守	*s.tuʔ-s 
狩	*s.tuʔ-s 
獸	*s.tʰu(ʔ)-s 
樞	*qˤ(r)o 
殊	*[d]o 
殳	*[d]o 
淑	*[d]iwk 
倏	*liwk 
梳	*sra 
疋	*sra 
疏	*sra 
疎	*sra 
蔬	*sra 
紓	*l̥a 
舒	*l̥a 
書	*s-ta 
輸	*l̥o 
菽	*s-t(ʰ)uk 
叔	*s-tiwk 
叔	*s-tiwk 
尗	*s.tuk 
攄	*r̥a 
樞	*t.qʰ(r)o 
抒	*Cə-laʔ 
紓	*Cə.laʔ 
孰	*[d]uk 
熟	*[d]uk 
贖	*Cə.lok 
秫	*m.lut (~ *mə.lut)
署	*m-taʔ-s 
屬	*N-tok 
蜀	*[d]ok 
數	*s-roʔ 
鼠	*[l̥]aʔ 
癙	*[l̥]aʔ 
暑	*s-tʰaʔ 
黍	*s-tʰaʔ 
豎	*[d]oʔ 
樹	*m-toʔ 
尌	*m-toʔ-s 
樹	*m-toʔ-s 
數	*s-roʔ-s 
漱	*[s]rok-s 
恕	*n̥a-s 
庶	*s-tak-s 
束	*s-tʰok 
戍	*[n̥]o-s 
術	*Cə-lut 
述	*Cə-lut 
鉥	*Cə-lut 
刷	*[s]r[o]t (dialect: retains MC srj-)
刷	*[s]r[o]t 
衰	*sruj 
率	*s-rut-s 
帥	*s-rut-s 
率	*s-rut 
蟀	*srut 
雙	*[s]roŋ 
霜	*[s]raŋ 
誰	*[d]uj 
水	*s.turʔ (E dialect: *-r > *-j)
睡	*[d]o[j]-s 
帨	*l̥ot-s 
税	*l̥ot-s 
説	*l̥ot-s 
帨	*s.l̥ot-s 
楯	*Cə.lu[n]ʔ 
舜	*[s.t]u[n]-s 
順	*Cə.lu[n]-s 
説	*l̥ot 
碩	*[d]Ak 
數	*s-rok 
朔	*s-ŋrak 
爍	*r̥ewk (W dialect: *r̥- > *x-, palatalizing)
爍	*r̥ewk (W dialect: *r̥- > *x-, palatalizing)
鑠	*r̥ewk (W dialect: *r̥- > *x-, palatalizing)
嘶	*[s]ˤe 
思	*[s]ə 
絲	*[s]ə 
司	*s-lə 
私	*[s]əj 
斯	*[s]e 
斯	*[s]e 
虒	*s.le 
𩆵	*s[e]r 
斯	*se 
死	*sijʔ 
肆	*s-ləp-s 
四	*s.li[j]-s 
駟	*s.li[j]-s 
巳	*s-[ɢ]əʔ 
祀	*s-[ɢ]əʔ 
禩	*s.ɢəʔ 
耜	*sə-ləʔ 
似	*sə.ləʔ 
寺	*s-[d]əʔ-s 
食	*s-m-lək-s 
飤	*s-m-lək-s 
飼	*s-m-lək-s 
嗣	*sə.lə-s 
兕	*[s.ɢ]ijʔ 
俟	*s-[ɢ]rəʔ 
俟	*s.[ɢ]rəʔ 
嵩	*[s]uŋ 
崧	*[s]uŋ 
松	*sə.ɢoŋ 
宋	*[s]ˤuŋ-s 
送	*[s]ˤoŋ-s 
頌	*s-[ɢ]oŋ-s 
訟	*s.[ɢ]oŋ-s 
誦	*sə-[l]oŋ-s 
搜	*sru 
叟	*s-ruʔ (dialect: > *sruʔ > MC srjuwX > sruwX > suwX)
叜	*s-ruʔ 
傁	*s-ruʔ 
嗽	*[s]ˤok-s 
蘇	*s-ŋˤa 
穌	*s.ŋˤa 
俗	*s-[ɢ]ok 
粟	*[s]ok 
宿	*[s]uk 
夙	*[s]uk 
肅	*siwk 
肅	*siwk 
肅	*siwk 
肅	*siwk 
肅	*siwk 
素	*[s]ˤak-s 
愬	*s-ŋˤak-s 
𧪜	*s-ŋˤak-s 
遡	*s-ŋˤak-s 
㴑	*s-ŋˤak-s 
泝	*s-ŋˤak-s 
訴	*s-ŋˤak-s 
速	*[s]ˤok 
速	*[s]ˤok 
酸	*[s]ˤor 
蒜	*[s]ˤor-s 
算	*[s]ˤorʔ-s 
祘	*[s]ˤorʔ-s 
雖	*s-qʷij 
隋	*lˤojʔ 
隋	*lˤojʔ 
綏	*s.nuj 
隋	*sə.loj 
隨	*sə.loj 
髓	*s-lojʔ 
瀡	*s-loj-s 
誶	*m-tsut 
隋	*s-loj-s 
歲	*s-qʷʰat-s 
祟	*s-lut-s 
誶	*s-tsu[t]-s 
碎	*[s-tsʰ]ˤu[t]-s 
𥝩	*s.[ɢ]ʷi[t]-s 
穟	*s.[ɢ]ʷi[t]-s 
穗	*s.[ɢ]ʷi[t]-s 
遂	*sə-lu[t]-s 
隧	*sə-lu[t]-s 
檖	*sə.lu[t]-s 
孫	*[s]ˤu[n] 
飧	*[s]ˤu[r] 
隼	*[s]urʔ 
筍	*s-qʷi[n]ʔ 
損	*[s-q]ʷˤə[n]ʔ 
娑	*[s]ˤa[j] 
縮	*[s]ruk 
蓑	*[s]ˤoj 
索	*[s]ˤak 
索	*[s]ˤak 
所	*s-qʰ<r>aʔ 
鎖	*[s]ˤojʔ 
瑣	*[s]ˤojʔ 
瑣	*[s]ˤojʔ 
鏁	*[s]ˤojʔ 
所	*qʰaʔ 
它	*l̥ˤaj 
他	*l̥ˤaj (E dialect: *l̥ˤ- > MC th-) 
獺	*r̥ˤat 
獺	*[m-r̥]ˤat 
蹋	*lˤap 
沓	*m-rˤəp 
眔	*m-rˤəp 
遝	*m-rˤəp 
𦍒	*l̥ˤat 
胎	*l̥ˤə 
臺	*lˤə 
泰	*l̥ˤa[t]-s 
太	*l̥ˤa[t]-s 
態	*n̥ˤə-s 
歎	*n̥ˤar 
灘	*n̥ˤar (E dialect: *n̥ˤ- > MC th-)  
嘽	*tʰˤar 
嘽	*tʰˤar 
嘽	*tʰˤar 
探	*l̥ˤ[ə]m 
貪	*r̥ˤ[ə]m 
談	*lˤ[o]m 
彈	*Cə.dˤar 
壇	*[d]ˤan 
彈	*[d]ˤar 
覃	*N.rˤ[o]m 
潭	*[l]ˤ[ə]m 
坦	*[tʰ]ˤa[n]ʔ 
醓	*[l̥ˤ][ə]mʔ 
炭	*[tʰ]ˤa[n]-s 
嘆	*n̥ˤar-s 
湯	*l̥ˤaŋ 
唐	*r̥ˤaŋ 
湯	*r̥ˤaŋ 
康	*r̥ˤaŋ 
鏜	*tʰˤaŋ 
糖	*C.lˤaŋ (no pre-Qín exx)
餳	*C.lˤaŋ (no pre-Qín exx)
唐	*[N-]rˤaŋ 
棠	*[N.]rˤaŋ 
唐	*[N].rˤaŋ 
堂	*[d]ˤaŋ 
塘	*m.rˤaŋ (~ *mə.rˤaŋ)
儻	*tʰˤaŋʔ 
攩	*tʰˤaŋʔ 
饕	*[tʰ]ˤaw 
滔	*l̥ˤu 
桃	*C.lˤaw 
鞀	*[d]ˤaw 
匋	*[l]ˤu 
逃	*lˤaw 
討	*[t]ʰˤuʔ 
犆	*[d]ˤək 
特	*[d]ˤək 
忒	*l̥ˤək 
慝	*n̥ˤək 
縢	*lˤəŋ 
騰	*lˤəŋ 
睇	*l̥ˤ[ə]j (~ *l̥ˤ[ə]jʔ)
梯	*l̥ˤ[ə]j 
剔	*l̥ˤek 
嗁	*C.lˤe 
啼	*C.lˤe 
提	*[d]ˤe 
荑	*lˤəj 
體	*r̥ˤijʔ 
嚏	*[t]ˤi[t]-s (< *t.lˤ-?)
涕	*[l̥]ˤ[ə]jʔ 
洟	*[l̥]ˤ[ə]j-s 
涕	*[l̥]ˤ[ə]jʔ-s 
剔	*l̥ˤek-s 
薙	*l̥ˤij-s 
替	*n̥ˤi[t]-s 
惕	*l̥ˤek 
添	*l̥ˤ[i]m 
天	*l̥ˤi[n] 
吞	*l̥ˤən 
填	*[d]ˤi[n] 
田	*lˤiŋ 
畋	*lˤiŋ 
殄	*[d]ˤə[n]ʔ 
舔	*l̥ˤ[i]mʔ 
忝	*l̥ˤ[i]mʔ 
忝	*l̥ˤ[i]mʔ-s 
腆	*tʰˤə[n]ʔ 
挑	*l̥ˤew 
調	*[d]ˤiw 
條	*[l]ˤiw 
條	*lˤiw 
窕	*lˤ[e]wʔ 
挑	*lˤewʔ 
跳	*lˤew 
眺	*l̥ˤew-s 
貼	*[tʰ]ˤ[e]p 
怗	*[tʰ]ˤep 
鐵	*l̥ˤik 
餮	*[tʰ]ˤət 
聽	*l̥ˤeŋ 
汀	*tʰˤeŋ 
停	*Cə.[d]ˤeŋ (~ *C.[d]ˤeŋ)
廷	*lˤeŋ 
亭	*m-tˤeŋ 
𡈼	*l̥ˤeŋʔ 
挺	*l̥ˤeŋʔ 
町	*tʰˤeŋʔ 
聽	*l̥ˤeŋ-s 
通	*l̥ˤoŋ 
彤	*N-rˤu[m] (dialect: *-um > *-uŋ)
童	*[d]ˤoŋ 
銅	*[l]ˤoŋ 
同	*lˤoŋ 
筒	*lˤoŋ 
桶	*l̥ˤoŋʔ 
慟	*[d]ˤoŋʔ-s 
痛	*l̥ˤoŋ-s 
偷	*l̥ˤo 
投	*[d]ˤo 
頭	*[m-t]ˤo 
突	*m-tʰˤut 
禿	*[tʰ]ˤok 
突	*tʰˤut 
屠	*[d]ˤa 
瘏	*[d]ˤa 
徒	*[d]ˤa 
圖	*[d]ˤa 
涂	*lˤa 
途	*lˤa 
塗	*lˤa 
塗	*lˤa 
腯	*lˤut 
稌	*l̥ˤa 
土	*tʰˤaʔ 
吐	*tʰˤaʔ 
兔	*l̥ˤa-s 
吐	*tʰˤaʔ-s 
湍	*tʰˤor 
團	*C.[d]ˤon 
摶	*[d]ˤon 
畽	*tʰˤonʔ 
彖	*l̥ˤo[r]-s 
推	*tʰˤuj 
隤	*N-rˤuj 
蜕	*l̥ˤot-s 
退	*n̥ˤ[u]p-s 
吞	*l̥ˤən 
焞	*tʰˤur 
焞	*tʰˤur 
焞	*tʰˤur 
屯	*[d]ˤun 
𡱂	*[d]ˤə[n] (dialect: *-ən > MC -won)
豚	*lˤu[n] 
𢄉	*lˤu[n] 
脱	*lˤot-s 
脱	*lˤot 
佗	*l̥ˤaj 
拖	*l̥ˤaj 
託	*tʰˤak 
捝	*l̥ˤot 
脱	*mə-l̥ˤot 
驒	*[d]ˤar 
鼉	*[d]ˤar 
紽	*lˤaj 
沱	*lˤaj 
鼉	*[d]ˤar 
驒	*tˤer 
橐	*tʰˤak 
隋	*l̥ˤojʔ 
橢	*l̥ˤojʔ 
妥	*n̥ˤojʔ 
汙	*qʷˤra 
污	*qʷˤra 
鼃	*qʷˤre (MC -ae for -ea)
鼃	*qʷˤre 
蛙	*qʷˤre 
鼃	*m-qʷˤre (MC -ae for -ea)
鼃	*m-qʷˤre 
瓦	*C.ŋʷˤra[j]ʔ 
韈	*C.m[a]t 
咼	*kʷˤrajʔ 
外	*[ŋ]ʷˤa[t]-s 
芄	*[ɢ]ʷˤa[r] 
丸	*[ɢ]ʷˤar 
完	*[ɢ]ˤo[n] 
丸	*ɦʷˤar (< *[ɢ]ʷˤar)
婉	*[ʔ]o[n]ʔ 
夗	*[ʔ]o[r]ʔ 
宛	*[ʔ]o[r]ʔ 
晚	*m[o][r]ʔ 
蔓	*C.ma[n]-s 
萬	*C.ma[n]-s 
玩	*[ŋ]ˤo[n]-s 
翫	*[ŋ]ˤo[n]-s 
汪	*qʷˤaŋ 
尪	*qʷˤaŋ 
王	*ɢʷaŋ 
亡	*maŋ 
忘	*maŋ 
枉	*qʷaŋʔ 
往	*ɢʷaŋʔ 
罔	*maŋʔ (or *C.maŋʔ ?)
網	*maŋʔ (or *C.maŋʔ ?)
惘	*maŋʔ 
网	*maŋʔ (or *C.maŋʔ ?)
迋	*[ɢ]ʷaŋʔ 
王	*ɢʷaŋ-s 
迋	*ɢʷaŋʔ-s 
望	*maŋ 
妄	*maŋ-s 
忘	*maŋ-s 
望	*maŋ-s 
威	*ʔuj 
委	*q(r)oj 
崴	*[ʔ]ˤruj 
隈	*[ʔ]ˤuj 
微	*məj 
巍	*N-qʰuj 
危	*[ŋ](r)[o]j 
韋	*[ɢ]ʷə[j] 
韋	*[ɢ]ʷə[j] 
違	*[ɢ]ʷə[j] 
圍	*[ɢ]ʷə[j] 
為	*ɢʷ(r)aj 
帷	*ɢʷrij 
魏	*N-qʰuj 
嵬	*N-qʰˤuj 
嵬	*N-qʰˤujʔ 
壝	*[ɢ](r)uj 
唯	*ɢʷij (< *ɢʷuj?)
惟	*ɢʷij 
維	*ɢʷij (? < *ɢʷuj)
委	*q(r)ojʔ 
委	*q(r)ojʔ 
委	*q(r)orʔ 
骫	*qʷ(r)arʔ 
煒	*[ɢ]ʷə[j]ʔ 
韡	*[ɢ]ʷə[j]ʔ 
洧	*[ɢ]ʷrəʔ 
鮪	*[ɢ]ʷrəʔ 
尾	*[m]əjʔ 
亹	*mərʔ 
偽	*N-ɢʷ(r)aj-s 
偽	*m-ɢʷ(r)aj-s 
諉	*nroj-s 
畏	*ʔuj-s 
㷉	*ʔut-s 
慰	*ʔut-s 
蔚	*ʔut-s 
胃	*[ɢ]ʷə[t]-s 
謂	*[ɢ]ʷə[t]-s 
蝟	*[ɢ]ʷə[t]-s 
為	*ɢʷ(r)aj-s 
衛	*[ɢ]ʷ(r)a[t]-s 
位	*[ɢ]ʷrəp-s (< *ɢʷəʔ-rəp-s ?)
未	*m[ə]t-s 
未	*m[ə]t-s 
味	*m[ə]t-s 
魏	*N-qʰuj-s 
遺	*[ɢ](r)uj-s 
𥁕	*ʔˤun 
温	*ʔˤun 
蚉	*C.mə[r] 
蚊	*C.mə[r] 
聞	*mu[n] 
文	*mə[n] 
眼	*ŋˤə[n]ʔ 
問	*C.mu[n]-s 
翁	*qˤoŋ 
瓮	*qˤoŋ-s 
甕	*qˤoŋ-s 
蝸	*k.rˤoj (dialect: *k.rˤ- > *kˤr-)
我	*ŋˤajʔ 
渥	*qˤrok (or *ʔˤrok ?)
擭	*qʷˤrak 
臥	*[ŋ]ˤ[o]j-s 
烏	*[ʔ]ˤa 
於	*[ʔ]ˤa 
洿	*qʷˤa 
圩	*qʷˤa 
烏	*qˤa 
烏	*ʔˤa 
屋	*qˤok (or *ʔˤok ?)
巫	*C.m(r)[o] 
誣	*[m](r)[o] 
蕪	*m(r)a 
無	*ma 
無	*ma 
无	*ma 
無	*mo 
毋	*mo 
吳	*ŋʷˤa 
吾	*ŋˤa 
舞	*k.m(r)aʔ 
儛	*k.m(r)aʔ 
武	*m(r)aʔ 
侮	*m(r)oʔ 
五	*C.ŋˤaʔ 
伍	*C.ŋˤaʔ 
午	*[m].qʰˤaʔ 
午	*m-qʰˤaʔ 
惡	*ʔˤak-s 
霧	*kə.m(r)[o]k-s 
務	*m(r)o-s 
物	*C.mut 
勿	*mut 
勿	*mut 
戊	*m(r)uʔ-s (~ *m(r)uʔ)
誤	*ŋʷˤa-s 
悟	*ŋˤa-s 
寤	*ŋˤa-s 
晤	*ŋˤak-s 
啎	*ŋˤak-s 
遻	*ŋˤak-s 
兀	*[ŋ]ˤut 
奚	*[g]ˤe (dial. for 何 *[g]ˤaj?)
奚	*[g]ˤe 
蹊	*[g]ˤe 
兮	*gˤe 
溪	*kʰˤe 
谿	*kʰˤe 
屖	*s-lˤəj 
西	*s-nˤər 
西	*s-nˤər 
犀	*s.lˤəj 
析	*[s]ˤek 
晳	*[s]ˤek 
錫	*s-lˤek 
錫	*s.lˤek 
息	*sək 
息	*sək 
熄	*sək 
悉	*[s]i[t] 
膝	*s-tsik 
昔	*[s]Ak 
惜	*[s]Ak 
蟋	*srit 
熹	*qʰ(r)ə 
熙	*qʰ(r)ə 
噏	*qʰ(r)[ə]p 
歙	*qʰ(r)[ə]p 
吸	*qʰ(r)əp 
希	*qʰəj 
豨	*qʰəj 
犧	*ŋ̊(r)a[j] 
羲	*ŋ̊(r)aj 
䖒	*ŋ̊(r)ar 
屎	*[qʰ]ij (dialect: *qʰ- > *x-, no palatalization)
觿	*qʷʰe 
夕	*s-ɢAk 
騱	*gˤe 
隰	*s-N-qip 
習	*s-ɢʷəp (with root *ɢʷəp ‘wing’?)
襲	*sə-l[ə]p 
襲	*sə.l[ə]p 
席	*s-m-tAk 
洗	*[s]ˤərʔ 
洒	*[s]ˤərʔ 
枲	*s.ləʔ 
徙	*[s]ajʔ 
璽	*s.[n]e[r]ʔ 
灑	*Cə.s<r>ərʔ 
纚	*sreʔ 
喜	*qʰ(r)əʔ 
狶	*qʰəjʔ 
豨	*qʰəjʔ 
系	*[m]-kˤek-s 
繫	*m-kˤek-s 
係	*kˤek-s 
綌	*[k]ʰrak 
郤	*[k]ʰrak 
𡭴	*[k]ʰrak 
隙	*[k]ʰrak 
細	*[s]ˤe(k)-s 
潟	*s-qʰAk 
舄	*s.qʰAk 
舄	*s.qʰak (dialect: *s.qʰ> MC tsh-, *-ak > -jak)
鬩	*[ŋ̊]ˤek 
塈	*qʰ(<r>)ə[t]-s 
